----------------------------------------------------------------------
Data values
----------------------------------------------------------------------
Data by Sector
Sector: #1 499 grams iron, 28 milligrams silicon
Sector: #1 12 grams iron, 68 milligrams silicon
Sector: #1 186 grams iron, 70 milligrams silicon
Sector: #1 490 grams iron, 75 milligrams silicon
Sector: #1 347 grams iron, 52 milligrams silicon
Sector: #1 476 grams iron, 3 milligrams silicon
Sector: #1 475 grams iron, 59 milligrams silicon
Sector: #1 67 grams iron, 48 milligrams silicon
Sector: #1 265 grams iron, 27 milligrams silicon
Sector: #1 87 grams iron, 63 milligrams silicon
Sector: #1 72 grams iron, 53 milligrams silicon
Sector: #1 16 grams iron, 58 milligrams silicon
Sector: #1 406 grams iron, 64 milligrams silicon
Sector: #1 194 grams iron, 77 milligrams silicon
Sector: #1 160 grams iron, 53 milligrams silicon
Sector: #1 406 grams iron, 50 milligrams silicon
Sector: #1 127 grams iron, 57 milligrams silicon
Sector: #1 105 grams iron, 41 milligrams silicon
Sector: #1 325 grams iron, 74 milligrams silicon
Sector: #1 440 grams iron, 27 milligrams silicon
Sector: #1 299 grams iron, 88 milligrams silicon
Sector: #1 24 grams iron, 57 milligrams silicon
Sector: #1 190 grams iron, 68 milligrams silicon
Sector: #1 294 grams iron, 33 milligrams silicon
Sector: #1 3 grams iron, 30 milligrams silicon
Sector: #1 138 grams iron, 50 milligrams silicon
Sector: #1 319 grams iron, 57 milligrams silicon
Sector: #1 164 grams iron, 38 milligrams silicon
Sector: #1 160 grams iron, 30 milligrams silicon
Sector: #1 79 grams iron, 35 milligrams silicon
Sector: #1 213 grams iron, 45 milligrams silicon
Sector: #1 416 grams iron, 29 milligrams silicon
Sector: #1 110 grams iron, 37 milligrams silicon
Sector: #1 174 grams iron, 47 milligrams silicon
Sector: #1 77 grams iron, 52 milligrams silicon
Sector: #1 160 grams iron, 46 milligrams silicon
Sector: #1 352 grams iron, 40 milligrams silicon
Sector: #1 239 grams iron, 72 milligrams silicon
Sector: #2 24 grams iron, 27 milligrams silicon
Sector: #2 340 grams iron, 3 milligrams silicon
Sector: #2 235 grams iron, 49 milligrams silicon
Sector: #2 424 grams iron, 66 milligrams silicon
Sector: #2 141 grams iron, 100 milligrams silicon
Sector: #2 249 grams iron, 106 milligrams silicon
Sector: #2 375 grams iron, 72 milligrams silicon
Sector: #2 243 grams iron, 24 milligrams silicon
Sector: #2 242 grams iron, 14 milligrams silicon
Sector: #2 459 grams iron, 64 milligrams silicon
Sector: #2 118 grams iron, 83 milligrams silicon
Sector: #2 3 grams iron, 85 milligrams silicon
Sector: #2 295 grams iron, 24 milligrams silicon
Sector: #2 226 grams iron, 29 milligrams silicon
Sector: #2 60 grams iron, 59 milligrams silicon
Sector: #2 334 grams iron, 16 milligrams silicon
Sector: #2 226 grams iron, 70 milligrams silicon
Sector: #2 328 grams iron, 84 milligrams silicon
Sector: #2 194 grams iron, 78 milligrams silicon
Sector: #2 141 grams iron, 78 milligrams silicon
Sector: #2 499 grams iron, 15 milligrams silicon
Sector: #2 384 grams iron, 7 milligrams silicon
Sector: #2 472 grams iron, 45 milligrams silicon
Sector: #2 321 grams iron, 25 milligrams silicon
Sector: #2 190 grams iron, 72 milligrams silicon
Sector: #2 479 grams iron, 69 milligrams silicon
Sector: #2 99 grams iron, 71 milligrams silicon
Sector: #2 248 grams iron, 44 milligrams silicon
Sector: #2 64 grams iron, 65 milligrams silicon
Sector: #2 306 grams iron, 45 milligrams silicon
Sector: #2 161 grams iron, 91 milligrams silicon
Sector: #2 340 grams iron, 46 milligrams silicon
Sector: #2 423 grams iron, 48 milligrams silicon
Sector: #2 166 grams iron, 68 milligrams silicon
Sector: #2 395 grams iron, 63 milligrams silicon
Sector: #2 470 grams iron, 27 milligrams silicon
Sector: #2 74 grams iron, 79 milligrams silicon
Sector: #2 39 grams iron, 11 milligrams silicon
Sector: #2 47 grams iron, 30 milligrams silicon
Sector: #2 43 grams iron, 26 milligrams silicon
Sector: #2 427 grams iron, 6 milligrams silicon
Sector: #2 157 grams iron, 34 milligrams silicon
Sector: #3 29 grams iron, 37 milligrams silicon
Sector: #3 68 grams iron, 99 milligrams silicon
Sector: #3 255 grams iron, 44 milligrams silicon
Sector: #3 470 grams iron, 70 milligrams silicon
Sector: #3 385 grams iron, 27 milligrams silicon
Sector: #3 18 grams iron, 51 milligrams silicon
Sector: #3 368 grams iron, 58 milligrams silicon
Sector: #3 210 grams iron, 11 milligrams silicon
Sector: #3 283 grams iron, 69 milligrams silicon
Sector: #3 75 grams iron, 63 milligrams silicon
Sector: #3 81 grams iron, 2 milligrams silicon
Sector: #3 80 grams iron, 13 milligrams silicon
Sector: #3 350 grams iron, 56 milligrams silicon
Sector: #3 174 grams iron, 53 milligrams silicon
Sector: #3 248 grams iron, 28 milligrams silicon
Sector: #3 6 grams iron, 53 milligrams silicon
Sector: #3 457 grams iron, 52 milligrams silicon
Sector: #3 95 grams iron, 60 milligrams silicon
Sector: #3 141 grams iron, 54 milligrams silicon
Sector: #3 31 grams iron, 56 milligrams silicon
Sector: #3 7 grams iron, 29 milligrams silicon
Sector: #3 257 grams iron, 39 milligrams silicon
Sector: #3 243 grams iron, 62 milligrams silicon
Sector: #3 468 grams iron, 54 milligrams silicon
Sector: #3 467 grams iron, 8 milligrams silicon
Sector: #3 483 grams iron, 18 milligrams silicon
Sector: #3 218 grams iron, 46 milligrams silicon
Sector: #3 184 grams iron, 23 milligrams silicon
Sector: #3 99 grams iron, 58 milligrams silicon
Sector: #3 455 grams iron, 10 milligrams silicon
Sector: #3 416 grams iron, 82 milligrams silicon
Sector: #3 363 grams iron, 40 milligrams silicon
Sector: #3 283 grams iron, 7 milligrams silicon
Sector: #3 168 grams iron, 32 milligrams silicon
Sector: #3 455 grams iron, 53 milligrams silicon
Sector: #3 268 grams iron, 63 milligrams silicon
Sector: #3 133 grams iron, 74 milligrams silicon
Sector: #3 154 grams iron, 32 milligrams silicon
Sector: #3 45 grams iron, 61 milligrams silicon
Sector: #3 421 grams iron, 36 milligrams silicon
Sector: #3 131 grams iron, 29 milligrams silicon
Sector: #3 417 grams iron, 58 milligrams silicon
Sector: #3 227 grams iron, 37 milligrams silicon
Sector: #3 387 grams iron, 42 milligrams silicon
Sector: #3 44 grams iron, 89 milligrams silicon
Sector: #4 69 grams iron, 32 milligrams silicon
Sector: #4 99 grams iron, 74 milligrams silicon
Sector: #4 384 grams iron, 30 milligrams silicon
Sector: #4 353 grams iron, 73 milligrams silicon
Sector: #4 143 grams iron, 28 milligrams silicon
Sector: #4 473 grams iron, 62 milligrams silicon
Sector: #4 89 grams iron, 42 milligrams silicon
Sector: #4 372 grams iron, 46 milligrams silicon
Sector: #4 484 grams iron, 52 milligrams silicon
Sector: #4 94 grams iron, 61 milligrams silicon
Sector: #4 10 grams iron, 39 milligrams silicon
Sector: #4 267 grams iron, 32 milligrams silicon
Sector: #4 335 grams iron, 35 milligrams silicon
Sector: #4 473 grams iron, 58 milligrams silicon
Sector: #4 475 grams iron, 71 milligrams silicon
Sector: #4 336 grams iron, 96 milligrams silicon
Sector: #4 446 grams iron, 72 milligrams silicon
Sector: #4 328 grams iron, 88 milligrams silicon
Sector: #4 166 grams iron, 36 milligrams silicon
Sector: #4 392 grams iron, 65 milligrams silicon
Sector: #4 470 grams iron, 10 milligrams silicon
Sector: #4 36 grams iron, 93 milligrams silicon
Sector: #4 419 grams iron, 27 milligrams silicon
Sector: #4 12 grams iron, 50 milligrams silicon
Sector: #4 6 grams iron, 82 milligrams silicon
Sector: #4 200 grams iron, 47 milligrams silicon
Sector: #4 161 grams iron, 50 milligrams silicon
Sector: #4 47 grams iron, 45 milligrams silicon
Sector: #4 86 grams iron, 69 milligrams silicon
Sector: #4 105 grams iron, 81 milligrams silicon
Sector: #4 334 grams iron, 13 milligrams silicon
Sector: #4 312 grams iron, 99 milligrams silicon
Sector: #4 176 grams iron, 38 milligrams silicon
Sector: #4 199 grams iron, 54 milligrams silicon
Sector: #5 258 grams iron, 9 milligrams silicon
Sector: #5 497 grams iron, 13 milligrams silicon
Sector: #5 387 grams iron, 33 milligrams silicon
Sector: #5 253 grams iron, 53 milligrams silicon
Sector: #5 307 grams iron, 29 milligrams silicon
Sector: #5 267 grams iron, 16 milligrams silicon
Sector: #5 405 grams iron, 76 milligrams silicon
Sector: #5 132 grams iron, 43 milligrams silicon
Sector: #5 388 grams iron, 62 milligrams silicon
Sector: #5 285 grams iron, 52 milligrams silicon
Sector: #5 126 grams iron, 70 milligrams silicon
Sector: #5 17 grams iron, 8 milligrams silicon
Sector: #5 189 grams iron, 18 milligrams silicon
Sector: #5 193 grams iron, 37 milligrams silicon
Sector: #5 353 grams iron, 63 milligrams silicon
Sector: #5 407 grams iron, 21 milligrams silicon
Sector: #5 288 grams iron, 23 milligrams silicon
Sector: #5 500 grams iron, 57 milligrams silicon
