----------------------------------------------------------------------
Data values
----------------------------------------------------------------------
Data by Sector
Sector: #1 183 grams iron, 64 milligrams silicon
Sector: #1 116 grams iron, 15 milligrams silicon
Sector: #1 497 grams iron, 99 milligrams silicon
Sector: #1 299 grams iron, 88 milligrams silicon
Sector: #1 151 grams iron, 46 milligrams silicon
Sector: #1 164 grams iron, 38 milligrams silicon
Sector: #1 160 grams iron, 30 milligrams silicon
Sector: #1 15 grams iron, 70 milligrams silicon
Sector: #1 493 grams iron, 29 milligrams silicon
Sector: #1 347 grams iron, 53 milligrams silicon
Sector: #1 349 grams iron, 38 milligrams silicon
Sector: #1 174 grams iron, 47 milligrams silicon
Sector: #1 177 grams iron, 37 milligrams silicon
Sector: #1 123 grams iron, 57 milligrams silicon
Sector: #1 18 grams iron, 50 milligrams silicon
Sector: #1 421 grams iron, 37 milligrams silicon
Sector: #1 304 grams iron, 54 milligrams silicon
Sector: #1 6 grams iron, 20 milligrams silicon
Sector: #1 466 grams iron, 55 milligrams silicon
Sector: #1 206 grams iron, 70 milligrams silicon
Sector: #2 20 grams iron, 40 milligrams silicon
Sector: #2 270 grams iron, 34 milligrams silicon
Sector: #2 101 grams iron, 50 milligrams silicon
Sector: #2 455 grams iron, 76 milligrams silicon
Sector: #2 470 grams iron, 54 milligrams silicon
Sector: #2 403 grams iron, 46 milligrams silicon
Sector: #2 248 grams iron, 44 milligrams silicon
Sector: #2 279 grams iron, 79 milligrams silicon
Sector: #2 22 grams iron, 63 milligrams silicon
Sector: #2 423 grams iron, 48 milligrams silicon
Sector: #2 378 grams iron, 26 milligrams silicon
Sector: #2 220 grams iron, 64 milligrams silicon
Sector: #2 67 grams iron, 49 milligrams silicon
Sector: #2 203 grams iron, 25 milligrams silicon
Sector: #2 47 grams iron, 30 milligrams silicon
Sector: #2 43 grams iron, 26 milligrams silicon
Sector: #2 250 grams iron, 83 milligrams silicon
Sector: #3 457 grams iron, 52 milligrams silicon
Sector: #3 95 grams iron, 60 milligrams silicon
Sector: #3 205 grams iron, 67 milligrams silicon
Sector: #3 347 grams iron, 70 milligrams silicon
Sector: #3 257 grams iron, 39 milligrams silicon
Sector: #3 106 grams iron, 35 milligrams silicon
Sector: #3 154 grams iron, 61 milligrams silicon
Sector: #3 210 grams iron, 19 milligrams silicon
Sector: #3 394 grams iron, 3 milligrams silicon
Sector: #3 25 grams iron, 72 milligrams silicon
Sector: #3 317 grams iron, 70 milligrams silicon
Sector: #3 455 grams iron, 10 milligrams silicon
Sector: #3 494 grams iron, 60 milligrams silicon
Sector: #3 347 grams iron, 15 milligrams silicon
Sector: #3 291 grams iron, 39 milligrams silicon
Sector: #3 277 grams iron, 69 milligrams silicon
Sector: #3 90 grams iron, 29 milligrams silicon
Sector: #3 133 grams iron, 74 milligrams silicon
Sector: #3 428 grams iron, 35 milligrams silicon
Sector: #3 457 grams iron, 11 milligrams silicon
Sector: #4 289 grams iron, 24 milligrams silicon
Sector: #4 62 grams iron, 71 milligrams silicon
Sector: #4 356 grams iron, 36 milligrams silicon
Sector: #4 449 grams iron, 83 milligrams silicon
Sector: #4 336 grams iron, 96 milligrams silicon
Sector: #4 196 grams iron, 101 milligrams silicon
Sector: #4 166 grams iron, 36 milligrams silicon
Sector: #4 6 grams iron, 82 milligrams silicon
Sector: #4 462 grams iron, 19 milligrams silicon
Sector: #4 397 grams iron, 72 milligrams silicon
Sector: #4 376 grams iron, 16 milligrams silicon
Sector: #4 33 grams iron, 42 milligrams silicon
Sector: #4 430 grams iron, 72 milligrams silicon
Sector: #4 477 grams iron, 74 milligrams silicon
Sector: #4 4 grams iron, 66 milligrams silicon
Sector: #4 347 grams iron, 65 milligrams silicon
Sector: #4 299 grams iron, 35 milligrams silicon
Sector: #4 312 grams iron, 99 milligrams silicon
Sector: #4 282 grams iron, 88 milligrams silicon
Sector: #4 229 grams iron, 38 milligrams silicon
Sector: #4 130 grams iron, 4 milligrams silicon
Sector: #4 33 grams iron, 63 milligrams silicon
Sector: #5 288 grams iron, 23 milligrams silicon
Sector: #5 263 grams iron, 24 milligrams silicon
Sector: #5 257 grams iron, 16 milligrams silicon
Sector: #5 392 grams iron, 13 milligrams silicon
Sector: #5 341 grams iron, 33 milligrams silicon
Sector: #5 181 grams iron, 70 milligrams silicon
Sector: #5 474 grams iron, 22 milligrams silicon
Sector: #5 305 grams iron, 57 milligrams silicon
Sector: #5 248 grams iron, 65 milligrams silicon
Sector: #5 155 grams iron, 89 milligrams silicon
Sector: #5 275 grams iron, 58 milligrams silicon
Sector: #5 59 grams iron, 64 milligrams silicon
Sector: #5 149 grams iron, 71 milligrams silicon
Sector: #5 299 grams iron, 47 milligrams silicon
Sector: #5 64 grams iron, 55 milligrams silicon
Sector: #5 413 grams iron, 49 milligrams silicon
Sector: #5 182 grams iron, 71 milligrams silicon
Sector: #5 130 grams iron, 35 milligrams silicon
Sector: #5 487 grams iron, 85 milligrams silicon
Sector: #5 154 grams iron, 54 milligrams silicon
Sector: #5 259 grams iron, 88 milligrams silicon
Sector: #5 67 grams iron, 43 milligrams silicon
Sector: #6 54 grams iron, 17 milligrams silicon
Sector: #6 70 grams iron, 18 milligrams silicon
Sector: #6 60 grams iron, 77 milligrams silicon
Sector: #6 428 grams iron, 59 milligrams silicon
Sector: #6 3 grams iron, 52 milligrams silicon
Sector: #6 169 grams iron, 66 milligrams silicon
Sector: #6 402 grams iron, 22 milligrams silicon
Sector: #6 487 grams iron, 61 milligrams silicon
Sector: #6 224 grams iron, 49 milligrams silicon
Sector: #6 407 grams iron, 113 milligrams silicon
Sector: #6 60 grams iron, 55 milligrams silicon
Sector: #6 89 grams iron, 83 milligrams silicon
Sector: #6 51 grams iron, 40 milligrams silicon
Sector: #6 56 grams iron, 12 milligrams silicon
Sector: #6 455 grams iron, 79 milligrams silicon
Sector: #6 75 grams iron, 77 milligrams silicon
Sector: #6 383 grams iron, 50 milligrams silicon
Sector: #6 485 grams iron, 22 milligrams silicon
Sector: #6 57 grams iron, 35 milligrams silicon
Sector: #7 41 grams iron, 23 milligrams silicon
Sector: #7 112 grams iron, 53 milligrams silicon
Sector: #7 134 grams iron, 34 milligrams silicon
Sector: #7 299 grams iron, 31 milligrams silicon
Sector: #7 335 grams iron, 49 milligrams silicon
Sector: #7 73 grams iron, 57 milligrams silicon
Sector: #7 487 grams iron, 101 milligrams silicon
Sector: #7 500 grams iron, 24 milligrams silicon
Sector: #7 253 grams iron, 51 milligrams silicon
Sector: #7 462 grams iron, 45 milligrams silicon
Sector: #7 289 grams iron, 28 milligrams silicon
Sector: #7 114 grams iron, 33 milligrams silicon
Sector: #7 440 grams iron, 55 milligrams silicon
Sector: #7 70 grams iron, 72 milligrams silicon
Sector: #7 197 grams iron, 32 milligrams silicon
Sector: #7 415 grams iron, 64 milligrams silicon
Sector: #7 473 grams iron, 106 milligrams silicon
Sector: #7 408 grams iron, 82 milligrams silicon
Sector: #7 235 grams iron, 2 milligrams silicon
Sector: #7 291 grams iron, 36 milligrams silicon
Sector: #7 388 grams iron, 84 milligrams silicon
Sector: #7 91 grams iron, 73 milligrams silicon
Sector: #7 354 grams iron, 83 milligrams silicon
Sector: #7 323 grams iron, 56 milligrams silicon
Sector: #7 480 grams iron, 77 milligrams silicon
Sector: #7 165 grams iron, 33 milligrams silicon
Sector: #8 478 grams iron, 68 milligrams silicon
Sector: #8 192 grams iron, 22 milligrams silicon
Sector: #8 493 grams iron, 70 milligrams silicon
Sector: #8 235 grams iron, 83 milligrams silicon
Sector: #8 292 grams iron, 29 milligrams silicon
Sector: #8 43 grams iron, 42 milligrams silicon
Sector: #8 162 grams iron, 11 milligrams silicon
Sector: #8 145 grams iron, 58 milligrams silicon
Sector: #8 46 grams iron, 35 milligrams silicon
Sector: #8 392 grams iron, 39 milligrams silicon
Sector: #8 438 grams iron, 41 milligrams silicon
Sector: #8 226 grams iron, 34 milligrams silicon
Sector: #8 165 grams iron, 21 milligrams silicon
Sector: #8 400 grams iron, 14 milligrams silicon
